id,name,role,salary,joiningDate,department,years_experience,performance_score,segment
2,Employee 2,Manager,151166.0,2010-02-28,Management,16,88,2
3,Employee 3,HR,155822.0,2010-03-31,Design,16,98,1
4,Employee 4,Manager,131297.0,2010-04-30,Design,16,97,1
5,Employee 5,HR,106241.0,2010-05-31,IT,16,89,1
6,Employee 6,IT Support,89911.0,2010-06-30,IT,16,91,1
7,Employee 7,IT Support,156121.0,2010-07-31,IT,16,82,2
8,Employee 8,Manager,79322.0,2010-08-31,IT,16,79,0
9,Employee 9,Manager,43649.0,2010-09-30,Management,16,85,0
11,Employee 11,Manager,61430.0,2010-11-30,Design,16,85,0
12,Employee 12,Manager,66065.0,2010-12-31,Design,16,82,0
13,Employee 13,IT Support,143349.0,2011-01-31,Design,15,99,1
14,Employee 14,Manager,101273.0,2011-02-28,IT,15,90,1
15,Employee 15,IT Support,70318.0,2011-03-31,IT,15,85,0
16,Employee 16,HR,153985.0,2011-04-30,Design,15,71,2
17,Employee 17,Manager,138974.0,2011-05-31,Design,15,86,2
18,Employee 18,Developer,61644.0,2011-06-30,Management,15,82,0
19,Employee 19,Developer,88150.0,2011-07-31,HR,15,85,0
21,Employee 21,Manager,158185.0,2011-09-30,HR,15,72,2
22,Employee 22,Developer,89708.0,2011-10-31,IT,15,79,0
24,Employee 24,HR,43466.0,2011-12-31,HR,15,77,0
25,Employee 25,Manager,101435.0,2012-01-31,Management,14,96,1
26,Employee 26,Designer,119561.0,2012-02-29,IT,14,90,1
27,Employee 27,HR,108296.0,2012-03-31,Management,14,73,0
28,Employee 28,IT Support,71868.0,2012-04-30,IT,14,96,1
29,Employee 29,HR,98805.0,2012-05-31,Management,14,88,1
1,AEmployee 1,Developer,61520.0,2010-01-31,IT,16,77,0
32,Employee 30,Cloud Engineer,80000.0,2018-08-14,HR,8,74,0
20,DEmployee 20,Cloud Engineer,80000.0,2018-08-14,HR,8,74,0
36,KHema,Cloud Engineer,80000.0,2018-08-14,HR,8,94,1
37,KHema,Cloud Engineer,80000.0,2018-08-14,HR,8,96,1
38,KHema,Cloud Engineer,90000.0,2018-08-14,HR,8,71,0
39,Arjun Patel,Cloud Engineer,90000.0,2018-08-14,HR,8,85,0
